,,0
Time span: End,Region: Middle East,-0.6754011255068414
Time span: End,Geography: Middle East,-0.6417343382136503
Time span: Start,Region: Middle East,-0.6331731905336776
Time span: Start,enforcement_mechanisms_include_appeal,-0.5901398950136252
Time span: End,enforcement_mechanisms_include_appeal,-0.5774851399458351
Time span: Start,Geography: Middle East,-0.5702476433228048
Time span: Start,decision_making_mechanisms_include_assembly_central,-0.5367325072324438
Time span: Start,Time span: Duration,-0.5136688835381809
Time span: Start,access_mechanisms_include_divine_right,-0.47600218453857523
Time span: End,access_mechanisms_include_divine_right,-0.4554960975932957
Time span: End,decision_making_mechanisms_include_assembly_central,-0.4527180982760734
Time span: Start,decision_making_mechanisms_include_bureaucracy,-0.4399083707482545
Time span: Start,Geography: Africa North,-0.4399083707482545
Time span: Start,decision_making_mechanisms_include_petition,-0.4399083707482545
Time span: Start,enforcement_mechanisms_include_forced_labour,-0.4399083707482545
"Size: 1,001 - 10,000","Size: 10,001 - 100,000",-0.4379225855949809
Time span: End,enforcement_mechanisms_include_jury_judge,-0.4236377610006975
Time span: Start,enforcement_mechanisms_include_jury_judge,-0.41945679998320384
Time span: Start,enforcement_mechanisms_include_paying_damages_compensation,-0.40662489673942853
access_mechanisms_include_matriarchy,decision_making_mechanisms_include_autocratic_leader_chief_bound,-0.3750946683441381
access_mechanisms_include_gerontocracy,Time span: Duration,-0.3692231546580983
access_mechanisms_include_blood_relations,decision_making_mechanisms_include_autocratic_leader_chief_bound,-0.35042551548571665
Time span: Start,decision_making_mechanisms_include_autocratic_leader_unbound,-0.35010095841334465
access_mechanisms_include_meritocracy,access_mechanisms_include_divine_right,-0.3477390737613985
Time span: End,decision_making_mechanisms_include_bureaucracy,-0.34527917599725155
Time span: End,enforcement_mechanisms_include_forced_labour,-0.34527917599725155
Time span: End,Geography: Africa North,-0.34527917599725155
Time span: End,decision_making_mechanisms_include_petition,-0.34527917599725155
access_mechanisms_include_blood_relations,access_mechanisms_include_gerontocracy,-0.3451818847930485
decision_making_mechanisms_include_council_central_,Region: Asia,-0.3405484260616119
decision_making_mechanisms_include_leader_first_among_equals,decision_making_mechanisms_include_autocratic_leader_chief_bound,-0.33569709128927666
decision_making_mechanisms_include_kingchief-as-figurehead,decision_making_mechanisms_include_autocratic_leader_chief_bound,-0.33232155396146673
Time span: Start,decision_making_mechanisms_include_magistrate_official,-0.33202438838590026
decision_making_mechanisms_include_dual-sex_political_system,decision_making_mechanisms_include_autocratic_leader_chief_bound,-0.3314189127050123
access_mechanisms_include_gerontocracy,access_mechanisms_include_divine_right,-0.32868833861119806
Time span: Start,access_mechanisms_include_blood_relations,-0.3273519817738671
Region: Asia,Region: North America,-0.32379742995443295
Time span: End,enforcement_mechanisms_include_paying_damages_compensation,-0.318510925974439
decision_making_mechanisms_include_council_local,decision_making_mechanisms_include_remunerated_position,-0.31707281897410483
decision_making_mechanisms_include_constitution,decision_making_mechanisms_include_autocratic_leader_chief_bound,-0.31552409160510275
decision_making_mechanisms_include_consultation,access_mechanisms_include_meritocracy,-0.3134943150698812
is_SCCS,Region: Asia,-0.313436043750553
decision_making_mechanisms_include_autocratic_leader_chief_bound,"Size: 1,000,001 - 10,000,000",-0.3125313292968772
access_mechanisms_include_meritocracy,enforcement_mechanisms_include_appeal,-0.30575850088713713
access_mechanisms_include_meritocracy,Geography: Africa,-0.30250379666459437
is_SCCS,Geography: Middle East,-0.30118247029671025
access_mechanisms_include_meritocracy,decision_making_mechanisms_include_autocratic_leader_unbound,-0.3000741741016896
access_mechanisms_include_meritocracy,access_mechanisms_include_patronage_for_office,-0.29819782051614613
decision_making_mechanisms_include_deliberation,Geography: Middle East,-0.2940282404178729
Time span: Start,enforcement_mechanisms_include_litigation,-0.29269379698222486
is_SCCS,decision_making_mechanisms_include_constitution,-0.28996732779604506
access_mechanisms_include_gerontocracy,enforcement_mechanisms_include_appeal,-0.2890076533124985
access_mechanisms_include_gerontocracy,access_mechanisms_include_election,-0.28785964024217686
decision_making_mechanisms_include_representation,Region: Middle East,-0.28739298041449374
access_mechanisms_include_heredity,access_mechanisms_include_election,-0.2860020669878713
decision_making_mechanisms_include_autocratic_leader_unbound,access_mechanisms_include_gerontocracy,-0.28363473991791716
decision_making_mechanisms_include_consultation,"Size: 10,001 - 100,000",-0.28241025931926445
access_mechanisms_include_heredity,decision_making_mechanisms_include_gathering,-0.2821140660437402
Time span: Start,decision_making_mechanisms_include_temporary_position_of_power_term_limits,-0.2819612405728819
access_mechanisms_include_patronage_for_office,access_mechanisms_include_gerontocracy,-0.2818611815541467
Time span: Start,"Geography: Asia, China",-0.2812035548167131
decision_making_mechanisms_include_kingchief-as-figurehead,access_mechanisms_include_gerontocracy,-0.2783828392606939
Time span: End,"Size: 10,001 - 100,000",-0.27836766780678146
decision_making_mechanisms_include_frequent_and_or_regular_meetings,decision_making_mechanisms_include_autocratic_leader_chief_bound,-0.27609168488780145
Geography: North America,Region: Asia,-0.2745556223573322
is_SCCS,enforcement_mechanisms_include_appeal,-0.27133365734449477
access_mechanisms_include_female_participation,decision_making_mechanisms_include_autocratic_leader_chief_bound,-0.2694106330351078
decision_making_mechanisms_include_public_meetings,"Size: 10,001 - 100,000",-0.26937499358281597
enforcement_mechanisms_include_mediation,"Size: 10,001 - 100,000",-0.26868132038251896
decision_making_mechanisms_include_council_local,decision_making_mechanisms_include_council_central_,-0.26852202227506433
decision_making_mechanisms_include_representation,Geography: Middle East,-0.26790505160830175
access_mechanisms_include_meritocracy,enforcement_mechanisms_include_litigation,-0.26693526677199053
access_mechanisms_include_dreaming,decision_making_mechanisms_include_autocratic_leader_chief_bound,-0.2661915995300039
decision_making_mechanisms_include_council_local,decision_making_mechanisms_include_gathering,-0.2653271367649035
enforcement_mechanisms_include_arbitration,access_mechanisms_include_female_participation,-0.26508275536343995
is_SCCS,access_mechanisms_include_patronage_for_office,-0.2646242214625111
Time span: End,decision_making_mechanisms_include_consent,-0.26459909762904726
decision_making_mechanisms_include_assembly_local,"Size: 1,001 - 10,000",-0.2630054522299145
Time span: Start,enforcement_mechanisms_include_tribunal_court_,-0.2616680520372014
enforcement_mechanisms_include_tribunal_court_,Geography: North America,-0.2614807147610837
decision_making_mechanisms_include_council_local,access_mechanisms_include_dreaming,-0.2578800356433675
enforcement_mechanisms_include_litigation,decision_making_mechanisms_include_autocratic_leader_chief_bound,-0.25775941803507785
enforcement_mechanisms_include_jury_judge,Region: North America,-0.2560727676544374
decision_making_mechanisms_include_deliberation,Region: Asia,-0.25591080032856334
