,,0
decision_making_mechanisms_include_lobbying,"Geography: Africa West, Mid-western Nigeria",1.0
decision_making_mechanisms_include_secret_ballot,decision_making_mechanisms_include_vote_by_show_of_hands,1.0
access_mechanisms_include_lottery_random_selection,"Geography: Asia, Japan",1.0
decision_making_mechanisms_include_bureaucracy,decision_making_mechanisms_include_petition,1.0
decision_making_mechanisms_include_petition,Geography: Africa North,1.0
enforcement_mechanisms_include_judicial_review,decision_making_mechanisms_include_agenda_setting,1.0
enforcement_mechanisms_include_forced_labour,Geography: Africa North,1.0
enforcement_mechanisms_include_civil_disobedience,"Geography: North America, Louisiana",1.0
decision_making_mechanisms_include_petition,enforcement_mechanisms_include_forced_labour,1.0
decision_making_mechanisms_include_bureaucracy,enforcement_mechanisms_include_forced_labour,1.0
decision_making_mechanisms_include_mandate,"Geography: Middle East, Mesopotamia, Babylonia",1.0
decision_making_mechanisms_include_bureaucracy,Geography: Africa North,1.0
Time span: Start,Time span: End,0.9533013523312048
enforcement_mechanisms_include_suspension_expulsion_ostracism_proscription,Geography: Africa North ,0.9225232908039642
decision_making_mechanisms_include_temporary_position_of_power_term_limits,Geography: Africa North ,0.9039062984173734
decision_making_mechanisms_include_balance_of_power,Geography: Asia Central,0.8604375440638199
decision_making_mechanisms_include_temporary_position_of_power_term_limits,enforcement_mechanisms_include_suspension_expulsion_ostracism_proscription,0.8523185719917338
"Size: 100,001 - 1,000,000",Geography: Africa North ,0.8489207035020535
Geography: North America,Region: North America,0.8403255715922857
Geography: Africa North ,Region: Africa,0.805180424007602
enforcement_mechanisms_include_tribunal_court_,Geography: Africa North ,0.8033186136404277
decision_making_mechanisms_include_lobbying,decision_making_mechanisms_include_word_of_mouth,0.7957376112692385
decision_making_mechanisms_include_word_of_mouth,"Geography: Africa West, Mid-western Nigeria",0.7957376112692385
access_mechanisms_include_election,Geography: Africa North ,0.793795288603902
Geography: Central America,Region: Central America,0.7906745101365988
decision_making_mechanisms_include_temporary_position_of_power_term_limits,enforcement_mechanisms_include_tribunal_court_,0.7813459445582074
"Size: 10,000,000+","Geography: Asia, China",0.7789995298203847
access_mechanisms_include_blood_relations,Geography: Africa North ,0.7737800719141296
decision_making_mechanisms_include_autocratic_leader_unbound,"Geography: Asia, China",0.7731402196960718
decision_making_mechanisms_include_alliance,"Geography: Asia, China",0.7649373099830155
enforcement_mechanisms_include_tribunal_court_,enforcement_mechanisms_include_suspension_expulsion_ostracism_proscription,0.7636302843782008
enforcement_mechanisms_include_suspension_expulsion_ostracism_proscription,"Size: 100,001 - 1,000,000",0.7635108121489969
enforcement_mechanisms_include_seizing_of_property,decision_making_mechanisms_include_plurality_voting,0.7624084156206437
decision_making_mechanisms_include_assembly_elite,"Size: 10,000,000+",0.7517219941675877
Geography: Middle East,Region: Middle East,0.7474331382043982
decision_making_mechanisms_include_temporary_position_of_power_term_limits,"Size: 100,001 - 1,000,000",0.7433226853496936
decision_making_mechanisms_include_ratification_acclamation_only,Geography: Asia Central,0.7400312062668856
enforcement_mechanisms_include_suspension_expulsion_ostracism_proscription,Region: Africa,0.7382135603788672
