,,0
Time span: Start,Time span: Duration,-0.6712847647775547
Time span: Start,decision_making_mechanisms_include_assembly_central,-0.5728886400215578
Time span: Start,decision_making_mechanisms_include_council_central_,-0.4616570840603007
Time span: End,decision_making_mechanisms_include_assembly_central,-0.4411136904350253
Time span: Start,decision_making_mechanisms_include_magistrate_official,-0.42593992467278413
Time span: Start,Region: Europe,-0.40815908070854434
Time span: End,Time span: Duration,-0.4078291359008629
Time span: Start,decision_making_mechanisms_include_temporary_position_of_power_term_limits,-0.3626089469583367
Time span: Start,"Geography: Asia, India (northeast)",-0.35262744083374475
Time span: Start,Region: Middle East,-0.35184490447612066
Time span: End,decision_making_mechanisms_include_council_central_,-0.3475914999871102
"Size: 1,001 - 10,000","Size: 10,001 - 100,000",-0.3454914063939081
Time span: End,Region: Middle East,-0.343613563627371
access_mechanisms_include_meritocracy,Region: Europe,-0.3367313531943508
Time span: Start,access_mechanisms_include_election,-0.3356046356301686
Time span: End,decision_making_mechanisms_include_magistrate_official,-0.3285793239811688
Time span: End,decision_making_mechanisms_include_bureaucracy,-0.32304872388912903
Time span: Start,decision_making_mechanisms_include_board_committee,-0.3121716076576288
Time span: End,decision_making_mechanisms_include_temporary_position_of_power_term_limits,-0.3061788187458015
Time span: End,"Geography: Asia, India (northeast)",-0.30436290679807776
decision_making_mechanisms_include_temporary_position_of_power_term_limits,access_mechanisms_include_meritocracy,-0.30071688666913954
Time span: Start,"Size: 100,001 - 1,000,000",-0.3006383367651417
Time span: End,Region: Europe,-0.2904603291773467
Time span: Start,enforcement_mechanisms_include_suspension_expulsion_ostracism_proscription,-0.2901765097968535
Time span: Start,enforcement_mechanisms_include_jury_judge,-0.2812004351771282
Time span: Start,access_mechanisms_include_enfranchisement,-0.2780401153581102
Time span: Start,decision_making_mechanisms_include_quorum,-0.27744235499422865
Time span: Start,access_mechanisms_include_screening_process,-0.27744235499422865
decision_making_mechanisms_include_temporary_position_of_power_term_limits,decision_making_mechanisms_include_autocratic_leader_chief_bound,-0.2749565688392034
Region: North America,Time span: Duration,-0.2744710762841433
Time span: Start,decision_making_mechanisms_include_bureaucracy,-0.2744636538337338
decision_making_mechanisms_include_assembly_central,access_mechanisms_include_meritocracy,-0.27088801418370273
decision_making_mechanisms_include_council_central_,decision_making_mechanisms_include_autocratic_leader_chief_bound,-0.26992069487391074
Time span: Start,"Geography: Europe South, Greece",-0.2669467946989965
Time span: End,"Geography: Europe Southeast, Anatolia",-0.2665494204886842
decision_making_mechanisms_include_council_local,decision_making_mechanisms_include_council_central_,-0.26422823363158554
Time span: Start,decision_making_mechanisms_include_secret_ballot,-0.263147773659433
Time span: Start,decision_making_mechanisms_include_vote_by_show_of_hands,-0.263147773659433
Time span: Start,decision_making_mechanisms_include_turnover_rotation,-0.2619281718694653
decision_making_mechanisms_include_council_local,Region: Europe,-0.2584048595165854
Time span: Start,enforcement_mechanisms_include_scrutiny_of_officials,-0.2578922063281517
Time span: End,enforcement_mechanisms_include_suspension_expulsion_ostracism_proscription,-0.25749438033224126
Time span: End,enforcement_mechanisms_include_jury_judge,-0.25303904708769537
Time span: End,access_mechanisms_include_screening_process,-0.25165171687973864
Time span: End,decision_making_mechanisms_include_quorum,-0.25165171687973864
Time span: Start,decision_making_mechanisms_include_agenda_setting,-0.2508939679805369
Time span: Start,enforcement_mechanisms_include_tribunal_court_,-0.24844763048758808
decision_making_mechanisms_include_magistrate_official,access_mechanisms_include_meritocracy,-0.24711030355087782
