,"Size: 100 - 1,000","Size: 1,001 - 10,000","Size: 10,001 - 100,000","Size: 100,001 - 1,000,000","Size: 1,000,001 - 10,000,000","Size: 10,000,000+",Size: Unknown
Time span: Start,0.15248550252781426,0.06976075308817675,-0.22592457927431278,-0.3006383367651417,-0.15082660801287337,-0.09828414982964458,-0.043528719267628045
Time span: End,0.11267515808761301,0.016228456416817787,-0.1617287463220046,-0.22255817248982385,-0.058533922967602625,-0.07045882273905915,-0.004470614184816358
is_SCCS,0.13718154344587388,0.1457944606950539,-0.17099089480783253,-0.12951491367375062,0.4061306221257296,-0.13299192158416287,-0.0722571619541276
access_mechanisms_include_property_requirement,-0.050260526648435964,-0.10395421773993689,0.4950907247401425,-0.05163524894627826,-0.046898055918392655,-0.04084091979590636,-0.0550326721150486
access_mechanisms_include_heredity,0.10276532857997063,0.30652037326402776,-0.17143183141798826,-0.1227303726630674,-0.08048579998727898,0.23927474287247072,-0.07400256086806505
access_mechanisms_include_life_appointment,0.21522077415745866,0.225172808134913,-0.15030039786354712,-0.08693243390644964,-0.07895695730465736,-0.06875924166706564,-0.09265229138943856
decision_making_mechanisms_include_board_committee,-0.06610824200196982,0.20743618199891967,0.2849008189213734,-0.06791642986651321,0.37239039402975155,-0.05371852603806404,-0.07238509917822168
decision_making_mechanisms_include_president_consul_chief_executive,-0.000864462892233726,-0.09329008355035925,0.09801629067169616,-0.08666032663457693,0.5492254353803522,-0.06854401831686935,-0.09236228038767756
decision_making_mechanisms_include_quorum,-0.036132344470924005,-0.07473279440261735,0.2548291384936717,0.22790329835194525,-0.03371506079339406,-0.029360579384636997,-0.03956304477120372
enforcement_mechanisms_include_capital_punishment,0.05284590279360416,-0.015258305242274426,-0.11639407529397068,0.2733034494081846,-0.04687836299775113,0.015826057574056314,-0.05500956339500833
decision_making_mechanisms_include_council_local,0.031994030586915,-0.029978991618311752,-0.11771829962853682,-0.13929474349469512,-0.07453814767445584,0.15801935545940535,0.000596716842052356
enforcement_mechanisms_include_self-help,0.04767056702613134,-0.028305040008294726,-0.06956136102292736,0.26013753304840875,-0.0482602187984437,0.01259244144736771,-0.05663110645688109
decision_making_mechanisms_include_assembly_central,-0.11577248806868892,-0.03445215142140901,0.24004878202075686,0.6967238080465494,0.19819219117904474,0.11626045618324876,-0.12676487495631533
decision_making_mechanisms_include_turnover_rotation,-0.04043103758526036,-0.08362381305689148,0.264571573290392,0.21940751223633195,-0.03772616778919447,-0.032853630341660535,-0.044269890967608486
enforcement_mechanisms_include_fines,0.052374518548546044,-0.09598366583325112,-0.13335094047773044,0.27890957400828675,0.044665762062011144,0.0192312795562376,0.00608252389147498
decision_making_mechanisms_include_bureaucracy,-0.03588579200268452,0.07463244903671307,-0.10311844744806282,-0.03686733759584741,0.07316761094573233,-0.029160234695627146,-0.03929308259514674
decision_making_mechanisms_include_frequent_and_or_regular_meetings,-0.030466454405802007,-0.11298107442720089,0.26494879751550543,0.12430816406236785,0.04131080550519456,-0.08000795530122413,-0.07047343565436603
decision_making_mechanisms_include_power_fluidity,-0.025414578719831115,0.1273223140842692,-0.07302923396366755,-0.026109716442935502,-0.023714322420099878,-0.020651490152574253,-0.027827646682132046
enforcement_mechanisms_include_negotiation,-0.04444258635337327,0.2463183108747523,-0.1277065448351671,-0.045658176768116066,-0.04146934063261258,-0.03611335228293401,-0.04866232898508703
decision_making_mechanisms_include_temporary_position_of_power_term_limits,-0.05826043478038571,0.11717530744324355,0.17530520893737386,0.28488107217615605,0.213999594507136,-0.08561518923104128,-0.1153654878627879
decision_making_mechanisms_include_alliance,-0.05269959205620918,0.0037853744908876636,-0.03588452547157901,-0.05414102749506997,-0.049173945836588066,0.5808419964193736,-0.057703322341060855
decision_making_mechanisms_include_lobbying,-0.02541457871983111,-0.052565160498418716,-0.07302923396366758,-0.026109716442935485,0.27505791614716774,-0.02065149015257427,-0.027827646682132022
enforcement_mechanisms_include_monitoring,-0.03258688110516226,-0.06739968638941597,-0.028500044016870858,0.3106779738911909,-0.03040679185408953,-0.026479591169506444,-0.03568094611615604
decision_making_mechanisms_include_consultation,-0.10032204694738747,0.06325460542032046,-0.16366865770349587,-0.052801753100018084,-0.06781932860986582,0.3324254113765302,0.30451323204646985
decision_making_mechanisms_include_magistrate_official,-0.04631435149398002,0.03722128400809238,0.07796426519767265,0.7348781301251517,0.13702909239383548,0.09948093404912701,-0.11863460603688934
