Name,Institutions,Mechanism,Culture/Values/Norms,Meta-Mechanisms,Notes,Time span,Geography,Size,Source,Metanotes,Heterogeneity ,FC comments,LIZA's comments,FABIO's comments,Jonas' comments
!Kung San,Hxaro,Positive reinforcement,"Reciprocity, Cooperation",Conflict-resolution mechanisms,"Systems of mutual reciprocity and social responsibility established to hedge the whole group against risk and pool resources (hxaro)

Hxaro - System of mutual reciprocity

'Each family creates ties which distribute its risk over the population and thereby assure that losses will be covered in bad years.' (Wiessner (1982), p. 66)

'The hxaro relationship involves a balanced, delayed exchange of gifts, whose continuous flow gives both partners information about the underlying status of the relationship - one of a bond of a friendship accompanied by mutual reciprocity and access to resources. In addition, each partnership links a person to a broad network of hxaro paths' (Wiessner (1982), p. 66)

Strong personal relationships built out of the hxaro",Contemporary,Africa,,"Polly Wiessner (1982), Risk, reciprocity and social influences on !Kung San economics, in (ed.) Leacock, Eleanor and Lee, Richard, Politics and history in band societies",,,edit with Graeber and Wengrow sources,,,
Akha,"Council of Elders, Village Founder-Leader (dzoma), Assistant Founder-Leaders (dzoza), White-Skirted Woman, Reciter (p'ima), Shaman, Sama, Village Headman (phuujajbaan), Strongman (xaqma), Blacksmith","Leader (first among equals),Gerontocracy,Theocracy,Consensus,Blood relations,Council (local),Remunerated position,Temporary position of power/Term Limits,Council (central),Meritocracy,Heredity,Balance of power,Representation,Checks and balances,Vote by proxy,(TO APPROVE) Dreaming","Shared identity/Kinship, Ritual, Supernatural, Written rules, Unwritten rules, Discrimination",,,Early 20th century - Present,Southeast Asia,"10,001 - 100,000","Main: 
Kammerer, Cornelia Ann (1985/86), Gateway to the Akha World: Kinship, Riyual and Community among Highlanders of Thailand; Ph.D. Dissertation Anthropology, University of Chicago

Discovered through: 
""James C. Scott, The Art of Not Being Governed"" Footnote:
""Turton, Andrew, Civility and Savagery: Social Identity in Thai States (2000)"" p. 144",,"Informal inclusion,Gender groups,Informal power imbalance ",edited,,,
Amalfi,"Prefetturii/ Conti/ Dogi, Sedile di congrega, Tavole Amalfitane, Consudetudini","Meritocracy,Veto,Election,Tribunal/Court,Magistrate/officials,Heredity,Constitution,Rule of Law,Consent,Public meetings,Reputational risk,Temporary position of power/Term Limits,Assembly (central),Council (central)","Written rules, Cooperation, Obedience to authority, Loyalty/Patriotism, Shared identity/Kinship",,"Camera, M, p. 29 (""La sua popolazione che nel 1137, epoca della sua decadenza, contava 50,000 abitanti (…)"")",4th-12th century,Western Europe,"10,001 - 100,000","Camera, M. Istoria della città e costiera di Amalfi in due parti divisa

Schiavo, A. Amalfi: profilo storico

Kreutz, B.M. Before the Normans: Southern Italy in the Ninth and Tenth Centuries (the Middle Ages Series)",,,edited,,,
Ancient City-States of the Tarim Basin,"Fu guo (“support of the state”), Governmental wings, Qiuzi State political structure, Nomad states political structure",King/Absolute Monarch (unbound),Obedience to authority,,"Time span is larger, but author decided to focus on the 2nd century as it does not present influences from foreign rulers.

Institution of focus: Governmental Wings",2nd century BC,Asia (Northern China),"100,001 - 1 million members","Nicola di Cosmo, Ancient City-States of the Tarim Basin in Hansen, A Comparative Study of Thirty City-States Cultures","“Beyond possible analogies, we should be mindful of the fact that the history of the Tarim Basin ‘oasis-states’ cannot be reduced to a social and political model that dominated elsewhere”",,edited,,,
Ancient Indian Republics,"Raja, Brahmins, Kshatriyas, Jana, Viś, Viāpati, Vidatha, Sabhā, Samiti, Parisad, General Assembly, Gana, Small Council, Chief of the Small Council, Council of Elders in the Kingdom of Patalene","Election,Autocratic Leader/Chief (bound),Unanimity voting,Majority voting,Meritocracy,Voting,Jury/Judge,Magistrate/officials,Lottery/Random Selection,Litigation,Blood relations,Heredity,Exclusive Club,Consent,Council (local),Elite Assembly,Assembly (central),Assembly (local)","Discrimination, Strict hierarchy/caste system, Ritual, Egalitarianism",Nested enterprises,"'Rhys Davids highlighted the example of the Shakya—the clan of the buddha. The business of the clan took place in an assembly where both young and old were present, and it must have included taxation. The clan elected a single chief—known as the raja—to run the assembly sessions and to preside over the business of state. Rhys Davids thought that the raja must have had a position like a Roman consul—a presiding officer but not truly a superior.' (p. 36)

'assembly of all householders' (p. 37)

'The largest and most influential Indian literary tradition, the Brahmanical, is distinctly hostile to anything resembling democracy.' (Muhlberger (1998), p. 3)
- 'Brahmanical literature gives kingship a central place in political life, and seldom hints that anything else is possible. For moral philosophers and legislators such as Manu (reputed author of the Manu-Smrti between 200 B.C.-A.D. 200), the king was a key figure in a social order based on caste (varna).' (p. 3)
- 'Caste divided society into functional classes: the Brahmans had magical powers and priestly duties, the ksatriyas were the rulers and warriors, the vaisyas cultivators, and the sudras the lowest part of society, subservient to the other three. Moral law or dharma depended on the observance of these divisions, and the king was the guarantor of dharma, and in particular the privileges of the Brahmans.' (p. 3)
- However, 'non-monarchical forms of government were omnipresent' (p. 6)

'it seems that in the northwestern part of India, republicanism was the norm.' (p. 7)
- 'But in many states, perhaps most, political participation was restricted to a subset of all the ksatriyas . One needed to be not just a warrior, but a member of a specific royal clan, the rajanya' (p. 8)
- 'The term raja, which in a monarchy certainly meant king, in a state with gana or sangha constitution could designate someone who held a share in sovereignty. In such places, it seems likely that political power was restricted to the heads of a restricted number of ""royal families"" (rajakulas) among the ruling clans. The heads of these families were consecrated as kings, and thereafter took part in deliberations of state.' (p. 8)

'In the Indian republics, as in the Greek poleis or the European cities of the High Middle Ages, economic expansion enabled new groups to take up arms and eventually demand a share in sovereignty36 If it was not granted, one could always form one's own mini-state.' (p. 9)

'In the case of the Buddhist sangha, the key organizational virtue was the full participation of all the monks in the ritual and disciplinary acts of their group.' (p. 11)

'Business could only be transacted legitimately in a full assembly, by a vote of all the members. If, for example, a candidate wanted the upasampada ordination, the question (ñatti) was put to the sangha by a learned and competent member, and the other members asked three times to indicate dissent. If there was none, the sangha was taken to be in agreement with the ñatti. The decision was finalized by the proclamation of the decision of the sangha.' (p. 11)

'In many cases, as in the granting of upasampada ordination, unanimity of full assembly was required' (p. 11)

If 'a dispute had degenerated into bitter and confused debate, it could be decided by majority vote, or referred to a jury or committee specially elected by the sangha to treat the matter at hand.' (p. 11)

'sovereign republics had a small, elected executive committee to manage the affairs of the gana when the whole membership of the gana was unable to be assembled.' (p. 12)
- 'the techniques seen in the Buddhist sangha reflect a sophisticated and widespread political culture based on the popular assembly. (p. 12)

'By the third and fourth centuries A.D., states known to be republics in earlier times were subject to hereditary executives. Eventually such republics became monarchies' (p. 15)

Culture:

'The Pali Canon, and to some extent the Jaina Canon, show us energetic movements that rejected the hierarchialism and caste ideology seen in the Vedas and Brahmanas in favor of more egalitarian values.' (p. 15)
- 'egalitarianism was an important element in the fifth century B.C' (p. 15)

'The title rājā has frequently been translated as king rather than chief. In many cases the later meaning of the term is applied to these early sources. Yet even in later periods the connotation of rājā has varied from landholder to king. The office of rājā in the Vedic sources was primarily that of a leader in battle and the protector of the settlements.' (Romila Thapar (1991), p. 36)

Vidatha - folk assembly/kin gathering

'Indo-European cognates for sabhā mean the assembly of the kinsfolk which would make its membership exclusive.167 In later periods the sabhā becomes an advisory body assisting the king.' (p. 57)

'Chiefdoms are characterized by a central leadership legitimized on the basis of
birth.' (p. 80)

'Genealogies, whether actual or fictionalized, are therefore of considerable
importance and ancestry becomes crucial.' (p. 80)

The heads of the rāja-kula families 'were eligible to sit in the Vriji assembly.' (p. 82)
- The assembly was most likely large due to the confederacy of eight clans
- One person was elected to preside over the assembly
IMPORTANT:
- 'Regularly assigned seats and a committee suggest a ranking within the gaṇa. A quorum was necessary and voting by proxy was permitted. The resolution before the gaṇa was moved, discussed, had three readings and was finally put to vote.' (p. 82)
- 'Later commentaries refer to an elaborate judicial procedure which sounds more ideal than actual, in which a case could move through six levels of appeal before coming to the president of the assembly as the final appeal.' (p. 82)

Some members (often young members) of the rāja-kula were exiled (e.g. during disputes) which at times led them to start their own settlements",1500-500 BCE (Vedic era),India,,"Stasavage, David (2020), The Decline and Rise of Democracy

Romila Thapar (1984), From Lineage to State: Social Formations of the Mid-First Millenium BC in the Ganga Valley","HETEROGENEITY
- Social groups : clearly divided into brahmins, Kshatriyas, vaishyas and sudras.
- Even though there was some degree of republicanism (informal inclusion), ""'in many states, perhaps most, political participation was restricted to a subset of all the ksatriyas . One needed to be not just a warrior, but a member of a specific royal clan, the rajanya' (p. 8)."" This, as well as the fact that the ruling raja class composes solely of Kshatriyas indicates that institutions were designed to allow for their domination (systemic imbalance)","Social groups,Inclusion through different institutions,Systemic power imbalance,Informal inclusion",edited,,,
Ancient Rome (TO EDIT),"Tribunes of the plebs, Concilium Plebis, Roman senate, Roman consuls, Praetor, Aediles, Quaestors, Censor, Comitia Centuriata, Prosciption, Dictator","King/Absolute Monarch (unbound),Rule of Law,Bureaucracy,Temporary position of power/Term Limits,Election,Appeal,President/Consul,Autocratic Leader/Chief (bound),Veto,Voting,Magistrate/officials,Board/Committee,Forced labour,Punishment,Civil disobedience,Strike,Protest,Blood relations,Checks and balances,Assembly (central)","Strict hierarchy/caste system, Written rules, Reputation/Honour, Supernatural, Ritual, Loyalty/Patriotism, Individualism",Nested enterprises,"Kingdom (until 510 BC)
- 7 Etruscan kings until the fall
- The Senate existed to advise the monarch

Republic
- Senate: 'a conservative body in which the oldest and most experienced men had a powerful influence' (p. 36)
- 'Decisions proposed by the Senate had to be confirmed by the third element of the Republican system, the popular assemblies' (Gwynn, David (2012), p. 33, EPUB version). Two main assemblies: Comitia Centuriata and Concilium Plebis
- Consuls: Two consuls in the senate. From 367 BC, even plebeians. 'The magistrates were the officials elected annually from the nobility to run the daily business of government. First and foremost were the two consuls who held the imperium (executive power) once wielded by the king. During their year in office, the consuls were the political and military heads of the state. They presided over the Senate, proposed laws if required, and commanded armies in the field.' (p. 30)
- Governors
- Hierarchy: patricians and plebeians. Based on blood relations, i.e. only those from patrician families could hold office. Many plebeians owned as much wealth as some patricians.
- Opposition to pro-patrician institutions led to strikes by plebeians in early 4th ce. BC
- Inability to pay creditors led to enslavement
- Patricians allowed the plebeians to have the Concilium Plebis and the tribunes of the plebs, which provided a check on the patrician senate
- 'Eventually, plebeians gained access to almost all major political and religious offices. The distinction between patricians and plebeians by birth still existed, but the Republic’s ruling class had widened and a new aristocracy had emerged which contained both patrician and plebeian nobles. By the early 3rd century, this combined nobility was firmly established. So too were the three key elements that comprised the unique government structure of the Roman Republic: the magistrates, the Senate, and the popular assemblies.' (p. 30)
- 'Below the consuls were lesser magistrates, again elected annually. The major offices were those of praetor, aedile, quaestor, and tribune of the plebs. The praetor was the only magistrate apart from the consul to hold imperium, the right to command armies and preside over the Senate. The authority of the praetor was inferior to that of the consul, and the praetor’s main role was civil and later provincial jurisdiction. Below the praetors were the aediles, who were responsible for the urban maintenance of Rome, including roads, water supply, food, and games. The most junior magistrates were the quaestors, who performed financial and legal duties.' (p. 31)
- 'Ten tribunes were elected each year, and their intended role was to defend plebeians from unjust actions by patrician magistrates. For this reason the tribunes held considerable powers, including the right to intervene in support of a citizen being arrested by a magistrate, the right to veto the action of another magistrate, and the right to propose legislation in the Concilium Plebis. In theory the person of a tribune was sacrosanct, although this did not always protect those who used the office to pursue radical policies, most famously the Gracchi brothers in the 2nd century.' (p. 31)
- 'The other slightly unusual office was that of censor. Two censors were elected approximately every five years, but they held office only until they had completed their functions and never for longer than 18 months. Their primary role was to revise the list of citizens and assess both their property and their morality. This duty included a review of the Senate, into which they could enrol new members and remove any found guilty of improper behaviour.' (p. 31-2)
- 'A consul or praetor at the end of their year in office could be granted an extension of their imperium should the need arise. They then became pro-consuls and pro-praetors, although such extended authority became common only in the 1st century.' (p. 33)
- 'Early Rome had no written legal code. Questions of justice
were decided by customary unwritten law, preserved and
judged by the patricians' (p. 30). Later codified law (e.g. Twelve Tables (c. 450 BC), Lex Hortensia).
- Dictator: 'appointed with superior imperium to oversee the state. A dictator could hold office only for six months or for the duration of the emergency, whichever was shorter.' (p. 33)

- Culture: 
'Women played largely subordinate roles' (p. 35). They were reduced to household carers, priestesses and heroic archetypes which placed the value of family above one's own life (e.g. Lucretia)
'Dignitas' - the sum of individual's and his family's worth and renown. This determined his standing in the Senate. Best way to increase dignitas was through 'gloria' which was best gained in war. 

Regular plebeians were tied to the elite in a patron-client relationship. 'The patron offered protection and financial aid in return for the client’s labour and political support through votes and public displays. It was an informal rather than legal relationship and so was open to abuse, but such abuse was rare.' (p. 38-9)

Empire
- Emperor: early title 'princeps'
- 'The Senate no longer held authority but endorsed Augustus’ requests, the annual magistrates were nominated by the princeps not elected by the assemblies, and the army answered to the emperor who represented the state. By Augustus’ death in AD 14 imperial rule was firmly established and the Republic had given way to the Empire.' (p. 104)",510 BC - 476 AD,Western Europe,+10 million members,"Gwynn, David (2012), The Roman Republic: A Very Short Introduction",Continue with The Roman Empire: A Very Short Intro,,revise after completing coverage,,,
Anglo Saxon England,"wapentake, witan, shire reeve, shire court","Assembly (local),Elite Assembly,Jury/Judge,Council (central),Autocratic Leader/Chief (bound),Consent",,,,10-13th century,Western Europe,,"Stasavage, David (2020), The Decline and Rise of Democracy, 198-200",,,revise after completing coverage,,,
Assur,"Isshiak Assur, Waklum, Assyrian Constitution, Assyrian City-Assembly, Limmum","King/Absolute Monarch (unbound),Assembly (central),Divine right,Constitution","Shared identity/Kinship, Written rules",,,1920-1800 B.C.,"Anatolia, Turkey","100,001 - 1 million members",,,,edited,,,
Aztec City-States,Council of high nobles,"King/Absolute Monarch (unbound),Heredity","Strict hierarchy/caste system, Obedience to authority",,"“One unusual aspect of city-state government was the existence of polities with more than one king operating at a single city: recorded cases have two or four kings”, 589

King here too were called Tloatani.",950-1520,South America/ Mexico,"100,001 - 1 million members","Michael E. Smith, Aztec City-States, in Hansen, A Comparative Study of Thirty City-States Cultures",,,needs more work,,,Some city-states might had been covered already
Babylonia,"Babylonian Governors, Assembly of Elders","King/Absolute Monarch (unbound),Assembly (local)",Shared identity/Kinship,,,900-600 B.C.,"Middle East, Mesopotamia, Babylonia","100,001 - 1 million members","Larsen, The City-States of the Early Neo-Babylonian Period, in Hansen, A Comparative Study of Thirty City-States Cultures",,,needs more work,,,
