Name,Communities,CGI,Description,Institutional links,Metanotes
Hxaro,!Kung San (Ju/hoansi),,"System of mutual reciprocity partnerships

'Each family creates ties which distribute its risk over the population and thereby assure that losses will be covered in bad years.' (Wiessner (1982), p. 66)

'The hxaro relationship involves a balanced, delayed exchange of gifts, whose continuous flow gives both partners information about the underlying status of the relationship - one of a bond of a friendship accompanied by mutual reciprocity and access to resources. In addition, each partnership links a person to a broad network of hxaro paths' (p. 66)",Inspiring principle of community life,
Headman,!Kung San (Ju/hoansi),,"Headman. According to Lee, headmen become more prominent upon contact with British colonizers and black settlers. Headmen are often elders and have other personal qualities that distinguish them. But they have no formal authority. 

The figure of the headman changes dramatically when incorporated into the Botswana state","leader of the community, heads the kgotla",
Group,!Kung San (Ju/hoansi),Deliberation,"Decisions are made by the group and by discussion. Women also participate, but their participation is not equal to that of men (Lee p. 44)",community,
Kgotla,!Kung San (Ju/hoansi),,"Court

Led by the headman. introduced upon contact with the Batswana. enables dispute resolution beyond feuding. this is a late development, dating to the late 1940s",led by the headman,
Village Founder-Leader (dzoma),Akha,,"Person with the highest authority in the village.
Responsible for:
-	Founding villages, initiating yearly household-based ancestor offerings, officiating at annual communal rites, adjudicating intravillage disputes, fining those who transgress Customs (e.g. adulterers) (Lewis 1968b; 1969-70:128-134) (Kammerer, p. 90-91)
-	The ceremonies led by the Village Founder-Leader primarily concern the welfare of the entire community. (Kammerer, p. 103)

""lead"" rather than ""rule"":
-	A better translation for “dzo” is “to lead” (Kammerer, p. 93)
-	It is his duty to follow Customs; he cannot impose his individual will upon villagers in his care (Kammerer, p. 93)

Requirements:
-	Must uphold Customs. However, expert knowledge of oral tradition and ritual procedures is not a prerequisite for office. (Kammerer, p. 95)
-	Must be “pure” or “clean”: his wife cannot have been pregnant at the time of their marriage and together they cannot ever have produced twins or deformed children. (Kammerer, p. 94)
-	A man must give up his position if he is no longer “clean”. (Kammerer, p. 94)
-	Qualifications: he is calm, impartial, and sincere man willing to listen to others who are better versed in the intricacies of Customs. (Kammerer, p. 95)

Succession: 
-	The office is not necessarily inherited. (Kammerer, p. 94)
-	A son, usually the youngest who remains behind in his parents’ household after his older brothers have established independent households, often succeeds his deceased father. 
-	Such succession, must however, be ratified by the male elders. (Kammerer, p. 94)
-	Male heads of families planning to form a new community may jointly nominate one among themselves or recruit another respected “clean” man to select the site and serves as Village Founder-Leader. (Kammerer, p. 94)

Extra:
-	The Village Founder-Leader’s life thus differs little from that of his neighbours, even though he is respected by virtue of his office. (Kammerer, p. 95)
-	The first house built (usually near the centre of the settlement) must be his (Grunfeld 1982:54; Lewis 1969-70:125-128; Lewis and Lewis 1984: 218) (Kammerer, p. 90)
-	“If there is no Founder-Leader (dzoma), a village cannot be built” (Kammerer, p. 90)
","Council of Elders:
-	Although dzoma does arbitrate disputes and impose fines, he does not do so alone. (p. 93)
-	Rather he does so in consultation with other male elders; his decision legitimises the consensus reached (p. 93)
",
Assistant Founder-Leaders (dzoza),Akha,,"There were 4 types of Assistant Founder-Leaders:
-	1) The son of the Village Founder Leader
-	2) Selected by male elders in communities in which he had previously lived. His father had been an Assistant Village Founder-Leader.
-	3) Selected by male elders in communities in which he had previously lived. His father had not been an Assistant Village Founder-Leader.
-	4) Chosen by the community’s male elders. This man’s paternal grandfather had served as a Village Founder-Leader, but his father had not.
",Assisted Village Founder-Leader (dzoma),
Strongman (xaqma),Akha,,"Officials responsible for village defence.
-	“Fighters” (p. 97 (Alting 1983:268), 98)
-	Role: Village defence (p. 97 (Alting 1983:268), 98)
",Responsible for defence,
Blacksmith,Akha,,"Blacksmith (baji in everyday speech; ciqma in the archaic oral tradition)
-	Position is restricted to men (p. 98)
-	Not automatically hereditary. Nonetheless, the craft is often taught by an older to a younger relative. (p. 98)
-	It is not necessary for a Blacksmith to be “clean” (p. 99)
-	Within a community there may be more than one Blacksmith. (p. 99)
",Not specified,
Reciter (p'ima),Akha,,"A religious officer trained in ritual texts of the oral tradition and responsible for ceremonies that concern the welfare of an individual or a patrilineal kin unit.
Some of his roles:
-	The elaborate funeral ceremony for an adult in which the Reciter’s chanting guides the deceased to the above of the ancestors (Hanks 1974; Hanson 1983) (p. 103)
-	Leads the various purification rites following a “bad death” (p. 103)
-	Enact ceremonies to re-establish order after the birth of twins or a malformed child. (p. 103)
-	Nevertheless, neither birth nor marriage rituals are his province. (p. 104)

-	Recitation of the ritual texts of the oral tradition is the essence of the office. (p. 100)
-	To become a Reciter a man must study with one or more Reciters. (p. 100)
-	During his apprenticeship he is known as p’iza “Apprentice Reciter”. (p. 100-101)
-	This position is achieved rather than inherited. (p. 101)
-	Requisitions: “clean” man who has the intelligence and perseverance required to memorise the vast corpus of ritual chants (p. 101)
-	He must provide his mentor with liquor and stipulated gifts, including a set of new clothes. (p. 101)
-	Although the office is not inherited, many men are taught by a patrilineal relative. In such cases the customary payment from a student to his teacher is not required. (p. 101)
-	Even a young Reciter spends few days, if any, working in his family’s fields. (p. 101)
-	Ceremonies led by the Reciter primarily concern the welfare of an individual or a patrilineal kin unit. 9p. 103)
-	The Reciter, unlike the Village Founder-Leader, has no official role in rituals of the annual cycle. (p. 103)
-	Although villagers prefer to have at least one Reciter among them, a community need not have a resident Reciter. (p. 103)

","Division of labour: whilst the Village Founder-Leader is concerned with rituals of the annual cycle, Reciter leads ceremonies that primarily concern the welfare of an individual or a patrilineal kin unit.",
Village Headman (phuujajbaan),Akha,,"A representative of the Akha people in Thailand's National government
-	His job is to act as liaison between government officials and villagers (p. 110)
-	Functionary in the national government system (p. 109)
-	Does not have to be “clean” (p. 110)
-	Receives a small monthly stipend from the District Office (amphur) for his services (p. 110)
-	He is obligated to attend regularly scheduled meetings at the District Office (p. 110)
-	Is the person contacted by various officials (e.g. field representatives of the Hill Tribe Welfare Division of the Department of Public Welfare, Ministry of the Interior (p. 110)
-	Maximum of 5 cycles. (p. 110)
-	Permitted to vote: those who have both a national identity card and a house registration card issued by the District Office (p. 110)
",The representative in the National government ,
